"","DATE","TIME","CH4_dry","CO2_dry","CO","Fractional_hours","N_points","track_seg_point_id","ele","time","geometry"
"1","2020-11-30","04:03:31.660",0.84186511705,214.629413445,-0.38732869812,"8033.0464",2,190,61.18,2020-11-30 17:02:47,c(174.73025674, -36.8656821549)
"2","2020-11-30","04:03:37.398",1.8545706932,521.01370928,-0.375992432815,"8033.0478",2,191,61.66,2020-11-30 17:02:52,c(174.7302579973, -36.8656769581)
"3","2020-11-30","04:03:43.177",1.8566572856,517.922818125,-0.38244307512,"8033.0492",2,192,60.7,2020-11-30 17:02:57,c(174.7302702349, -36.8657605257)
"4","2020-11-30","04:03:48.348",1.8598635829,471.174187665,-0.39500059225,"8033.0506",2,193,58.78,2020-11-30 17:03:02,c(174.7302978951, -36.8658775371)
"5","2020-11-30","04:03:50.831",1.88200123923333,457.173034593333,-0.398970628016667,"8033.0519",3,194,58.3,2020-11-30 17:03:07,c(174.7303642798, -36.8659512978)
"6","2020-11-30","04:03:55.678",1.89346399745,457.080388685,-0.39002686773,"8033.0533",2,195,58.3,2020-11-30 17:03:12,c(174.7303968016, -36.8659859989)
"7","2020-11-30","04:04:01.279",1.8604066017,442.51671982,-0.40413688749,"8033.0547",2,196,58.3,2020-11-30 17:03:17,c(174.7303978074, -36.8659885135)
"8","2020-11-30","04:04:06.112",1.8457130745,419.47557098,-0.43097922597,"8033.0561",3,197,57.82,2020-11-30 17:03:22,c(174.7303882521, -36.8659880944)
"9","2020-11-30","04:04:11.042",1.84507340525,413.081641275,-0.436827684225,"8033.0575",2,198,57.82,2020-11-30 17:03:27,c(174.7303882521, -36.8659939617)
"10","2020-11-30","04:04:17.022",1.8579335425,420.96016627,-0.42875974124,"8033.0589",2,199,57.82,2020-11-30 17:03:32,c(174.730383642, -36.8660003319)
"11","2020-11-30","04:04:21.930",1.85858925745,429.7726164,-0.426044770615,"8033.0603",2,200,57.82,2020-11-30 17:03:37,c(174.7303852346, -36.8659954704)
"12","2020-11-30","04:04:26.851",1.85329649965,440.411084345,-0.33915174878,"8033.0617",2,201,57.34,2020-11-30 17:03:42,c(174.7303833906, -36.866001673)
"13","2020-11-30","04:04:31.701",1.86972444045,557.00955284,-0.009817709713,"8033.0631",2,202,57.82,2020-11-30 17:03:47,c(174.7303856537, -36.8659905251)
"14","2020-11-30","04:04:36.591",1.85104679315,504.32795915,-0.226687247545,"8033.0644",2,203,57.82,2020-11-30 17:03:52,c(174.7303979751, -36.8660339434)
"15","2020-11-30","04:04:41.717",1.8421273654,457.37475898,-0.495849354085,"8033.0658",2,204,57.82,2020-11-30 17:03:57,c(174.7304857336, -36.8662696425)
"16","2020-11-30","04:04:47.134",1.8383205732,441.2098125,-0.400919774505,"8033.0672",2,205,58.3,2020-11-30 17:04:02,c(174.7305035032, -36.8665516097)
"17","2020-11-30","04:04:53.322",1.8444925618,432.61749416,-0.42598080068,"8033.0686",1,206,58.3,2020-11-30 17:04:07,c(174.7302074544, -36.8667497579)
"18","2020-11-30","04:05:03.174",1.84291161245,536.84302328,-0.00861295679,"8033.0714",2,208,56.86,2020-11-30 17:04:17,c(174.7295389976, -36.8671649136)
"19","2020-11-30","04:05:08.121",1.8368702455,450.45073309,-0.342042903325,"8033.0728",2,209,56.86,2020-11-30 17:04:22,c(174.7294421028, -36.8672149535)
"20","2020-11-30","04:05:13.062",1.8385798556,447.93397426,-0.352189138535,"8033.0742",2,210,57.34,2020-11-30 17:04:27,c(174.7294246685, -36.8672301248)
"21","2020-11-30","04:05:17.980",1.8409080596,456.351140835,-0.24670028448,"8033.0756",2,211,56.86,2020-11-30 17:04:32,c(174.7294415161, -36.867220737)
"22","2020-11-30","04:05:22.871",1.845865985,452.286549605,0.316364730225,"8033.0769",2,212,56.86,2020-11-30 17:04:37,c(174.7294479702, -36.8672135286)
"23","2020-11-30","04:05:27.765",1.8472565448,527.11210629,0.25948160887,"8033.0783",2,213,56.37,2020-11-30 17:04:42,c(174.7294523288, -36.8672109302)
"24","2020-11-30","04:05:33.414",1.8481280028,514.95482853,-0.13301079811,"8033.0797",1,214,56.86,2020-11-30 17:04:47,c(174.7294547595, -36.8672103435)
"25","2020-11-30","04:05:37.163",1.84287443865,462.254600305,-0.16496785083,"8033.0811",2,215,56.86,2020-11-30 17:04:52,c(174.7294507362, -36.8672134448)
"26","2020-11-30","04:05:42.109",1.8438372014,487.37014826,-0.181213121255,"8033.0825",2,216,56.37,2020-11-30 17:04:57,c(174.7294488084, -36.8672196474)
"27","2020-11-30","04:05:47.000",1.84307781275,501.01432691,-0.17963823205,"8033.0839",2,217,56.86,2020-11-30 17:05:02,c(174.7294382472, -36.8672299571)
"28","2020-11-30","04:05:52.592",1.84724095795,540.442721465,-0.204879952965,"8033.0853",2,218,55.89,2020-11-30 17:05:07,c(174.7294264287, -36.8672421109)
"29","2020-11-30","04:05:56.022",1.8439923424,520.393026786667,-0.240613794196667,"8033.0867",3,219,56.37,2020-11-30 17:05:12,c(174.7294063959, -36.8672523368)
"30","2020-11-30","04:06:00.956",1.8448677826,481.354802783333,-0.300285572246667,"8033.0881",3,220,56.86,2020-11-30 17:05:17,c(174.7294085752, -36.8672492355)
"31","2020-11-30","04:06:05.819",1.84654278733333,487.99982141,-0.327758738983333,"8033.0894",3,221,56.37,2020-11-30 17:05:22,c(174.7294117603, -36.8672490679)
"32","2020-11-30","04:06:10.717",1.84877324203333,510.089622643333,-0.206081634075333,"8033.0908",3,222,56.37,2020-11-30 17:05:27,c(174.7294129338, -36.8672444578)
"33","2020-11-30","04:06:18.242",1.85009826585,498.28277167,-0.1188214456545,"8033.0922",2,223,56.37,2020-11-30 17:05:32,c(174.7294123471, -36.8672407698)
"34","2020-11-30","04:06:20.717",1.85096613953333,487.395898493333,0.098719707495,"8033.0936",3,224,56.37,2020-11-30 17:05:37,c(174.7294156998, -36.8672308791)
"35","2020-11-30","04:06:33.108",1.8573250824,464.32148129,-0.198686732225,"8033.0964",2,226,56.37,2020-11-30 17:05:47,c(174.7289359197, -36.8675856851)
"36","2020-11-30","04:06:37.997",1.850971876,438.352539615,-0.24380798322,"8033.0978",2,227,56.86,2020-11-30 17:05:52,c(174.7284321673, -36.8678686582)
"37","2020-11-30","04:06:42.877",1.8490027032,437.65013605,-0.32493384575,"8033.0992",2,228,57.82,2020-11-30 17:05:57,c(174.7278138343, -36.8680770323)
"38","2020-11-30","04:06:47.785",1.84972117005,425.608254335,-0.373170966175,"8033.1006",2,229,58.3,2020-11-30 17:06:02,c(174.7271755524, -36.8681418244)
"39","2020-11-30","04:06:52.855",1.8468707756,420.632039515,-0.391020752725,"8033.1019",2,230,58.78,2020-11-30 17:06:07,c(174.7265593149, -36.868179962)
"40","2020-11-30","04:06:57.914",1.8474952411,425.680270875,-0.354170186745,"8033.1033",2,231,59.26,2020-11-30 17:06:12,c(174.7260573227, -36.8682521302)
"41","2020-11-30","04:07:02.842",1.84818914885,423.48121009,-0.355718334755,"8033.1047",2,232,59.74,2020-11-30 17:06:17,c(174.7259339411, -36.8683901802)
"42","2020-11-30","04:07:07.719",1.84847120445,438.57574488,-0.29074808155,"8033.1061",2,233,61.18,2020-11-30 17:06:22,c(174.7258951329, -36.8686475046)
"43","2020-11-30","04:07:10.927",1.847096523,449.974379123333,-0.295918955276667,"8033.1075",3,234,62.62,2020-11-30 17:06:27,c(174.7258414049, -36.8690373469)
"44","2020-11-30","04:07:15.782",1.8454559311,439.36408204,-0.332523098635,"8033.1089",2,235,64.07,2020-11-30 17:06:32,c(174.7257615253, -36.8694486469)
"45","2020-11-30","04:07:21.677",1.84977017945,442.239382155,-0.232203331065,"8033.1103",2,236,64.55,2020-11-30 17:06:37,c(174.7257290874, -36.8697676621)
"46","2020-11-30","04:07:27.835",1.8548953165,471.09405712,0.943687130446,"8033.1117",2,237,65.51,2020-11-30 17:06:42,c(174.7257093899, -36.8699805625)
"47","2020-11-30","04:07:32.755",1.86822620795,472.722564515,1.81611557005,"8033.1131",2,238,65.99,2020-11-30 17:06:47,c(174.7256649658, -36.8702799641)
"48","2020-11-30","04:07:37.713",1.8827569054,479.16058724,1.58034283033,"8033.1144",2,239,65.51,2020-11-30 17:06:52,c(174.7256334499, -36.8706424814)
"49","2020-11-30","04:07:42.624",1.86197232725,464.527303275,0.31683304236,"8033.1158",2,240,65.99,2020-11-30 17:06:57,c(174.7256331146, -36.8710384425)
"50","2020-11-30","04:07:47.614",1.85880612875,443.0022648,-0.196775174395,"8033.1172",2,241,64.55,2020-11-30 17:07:02,c(174.7256211285, -36.8714906462)
"51","2020-11-30","04:07:52.533",1.85778655445,445.68372811,0.1877083578005,"8033.1186",2,242,63.58,2020-11-30 17:07:07,c(174.7256099805, -36.8719881959)
"52","2020-11-30","04:08:03.223",1.859604419,445.587109075,0.416152780585,"8033.1214",2,244,65.51,2020-11-30 17:07:17,c(174.7256057896, -36.8730125483)
"53","2020-11-30","04:08:08.068",1.85824749735,456.271895715,-0.0554870437005,"8033.1228",2,245,66.47,2020-11-30 17:07:22,c(174.7256256547, -36.8734474014)
